Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Total unfounded crimes
2014,236258,Peninsula College,1,Main Campus,2342,0
2014,236258,Peninsula College,2,Forks Branch,2342,0
2014,236258,Peninsula College,3,Port Townsend Branch,2342,0
2014,236258,Peninsula College,4,North Olympic Peninsula Skills Center,2342,0
2014,236212,Perry Technical Institute,1,Perry Technical Institute,791,0
2014,235237,Pierce College District,1,Pierce College Fort Steilacoom,5927,0
2014,235237,Pierce College District,2,Pierce College at Joint Base Lewis-McChord- Army,5927,0
2014,235237,Pierce College District,3,Pierce College at Joint Base Lewis-McChord- Air Force,5927,0
2014,449074,Pima Medical Institute-Renton,1,Renton Campus,777,0
2014,368629,Pima Medical Institute-Seattle,1,Seattle Campus,760,0
2014,236382,Renton Technical College,1,Renton Technical College,3359,0
2014,236452,Saint Martin's University,1,Saint Martin's University Lacey Campus,1801,0
2014,236513,Seattle Central College,1,Seattle Central College,6773,1
2014,236513,Seattle Central College,2,Seattle Maritime Academy,6773,0
2014,236513,Seattle Central College,3,Seattle Central Wood Technology Center,6773,0
2014,439914,Seattle Institute of East Asian Medicine,1,Main Campus,42,0
2014,236577,Seattle Pacific University,1,Main Campus,4217,0
2014,236595,Seattle University,1,Main Campus,7273,0
2014,236610,Shoreline Community College,1,Shoreline Community College,6015,0
2014,236638,Skagit Valley College,1,Mount Vernon Campus,4993,0
2014,236638,Skagit Valley College,2,Whidbey Island Campus,4993,0
2014,236638,Skagit Valley College,4,San Juan Center,4993,0
2014,236638,Skagit Valley College,5,Marine Technology Center,4993,0
2014,236656,South Puget Sound Community College,1,Main Campus,4881,0
2014,236504,South Seattle College,1,South Seattle College,5535,0
2014,236504,South Seattle College,2,Georgetown Campus,5535,0
2014,236692,Spokane Community College,1,Main Campus,9974,0
2014,236692,Spokane Community College,2,SCC Colville,9974,0
2014,236692,Spokane Community College,3,SCC Inchelium,9974,0
2014,236692,Spokane Community College,4,SCC Newport,9974,0
2014,236692,Spokane Community College,5,SCC Republic,9974,0
2014,236692,Spokane Community College,7,SCC Ione,9974,0
2014,236708,Spokane Falls Community College,1,Main Campus,5970,0
2014,236708,Spokane Falls Community College,5,SFCC Pullman Campus,5970,0
2014,236744,Stylemaster College of Hair Design,1,Main Campus,77,0
2014,459550,Summit Salon Academy,1,Main Campus,135,0
2014,236753,Tacoma Community College,1,Tacoma Community College,7189,0
2014,235167,The Evergreen State College,1,Main Campus,4219,0
2014,235167,The Evergreen State College,2,Tacoma Campus,4219,0
2014,441131,The Seattle School of Theology & Psychology,1,The Seattle School of Theology & Psychology Main Campus,297,0
2014,484826,Tint School of Makeup & Cosmetology-Seattle,1,Tint School of Makeup & Cosmetology,95,0
2014,235352,Toni & Guy Hairdressing Academy-Shoreline,1,Evergreen Beauty College - Shoreline,35,0
2014,236328,University of Puget Sound,1,Main Campus,2826,0
2014,377555,University of Washington-Bothell Campus,1,Bothell Campus,4962,0
2014,236948,University of Washington-Seattle Campus,1,Main Campus,44784,2
2014,377564,University of Washington-Tacoma Campus,1,Tacoma Campus,4477,0
2014,451626,Victoria's Academy of Cosmetology,1,Victoria's Academy of Cosmetology,88,0
2014,236887,Walla Walla Community College,1,Walla Walla Campus,4851,0
2014,236887,Walla Walla Community College,2,Clarkston Center,4851,0
2014,236896,Walla Walla University,1,Main Campus,1887,0
2014,236896,Walla Walla University,2,Billings,1887,0
2014,236896,Walla Walla University,3,Missoula,1887,0
2014,236896,Walla Walla University,4,Rosario,1887,0
2014,236896,Walla Walla University,6,Portland,1887,0
2014,236939,Washington State University,1,Pullman Campus,28686,8
2014,236939,Washington State University,2,Vancouver Campus,28686,0
2014,236939,Washington State University,3,Spokane Campus,28686,0
2014,236939,Washington State University,4,Tri Cities,28686,0
2014,236975,Wenatchee Valley College,1,Main Campus,3510,0
2014,237011,Western Washington University,1,Bellingham Campus,15060,1
2014,237039,Whatcom Community College,1,Main Campus,4176,0
2014,237057,Whitman College,1,Whitman College,1498,0
2014,237066,Whitworth University,1,Main Campus,2654,1
2014,237109,Yakima Valley College,1,Main Campus,3950,0
2014,237109,Yakima Valley College,2,Grand View Campus,3950,0
2015,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3357,0
2015,482185,Academy of Interactive Entertainment,1,Seattle Campus,106,0
2015,245883,Antioch University-Seattle,1,Main Campus,656,0
2015,487348,Aveda Institute Portland-Vancouver Campus,1,Aveda Institute Portland Vancouver Campus,109,0
2015,235547,Bastyr University,1,Main Campus,1264,0
2015,235547,Bastyr University,2,Bastyr University California,1264,0
2015,235671,Bates Technical College,1,Downtown Campus,3272,0
2015,235671,Bates Technical College,2,South Campus,3272,0
2015,235671,Bates Technical College,3,Central Campus,3272,0
2015,234669,Bellevue College,1,Main Campus,13398,0
2015,234669,Bellevue College,2,North Campus,13398,0
2015,234696,Bellingham Technical College,1,Main Campus,2403,0
2015,234711,Big Bend Community College,1,Main Campus,2070,0
2015,236018,BJ's Beauty & Barber College,1,BJ's Beauty & Barber College,77,0
2015,262086,Brandman University,3,Brandman University - Bangor Campus,8004,0
2015,262086,Brandman University,7,Brandman University - Lacey Campus,8004,0
2015,262086,Brandman University,9,Brandman University - Ft. Lewis Campus,8004,0
2015,262086,Brandman University,10,Brandman University - McChord Field,8004,0
2015,262086,Brandman University,25,Brandman University - Whidbey Island Campus,8004,0
2015,439118,Carrington College-Spokane,1,Carrington College-Spokane,413,0
2015,439190,Cascadia College,1,Main Campus,3497,0
2015,234827,Central Washington University,1,Central Washington University,11993,0
2015,234827,Central Washington University,2,CWU-Yakima,11993,0
2015,234827,Central Washington University,3,CWU-Pierce,11993,0
2015,234827,Central Washington University,4,CWU-Lynnwood,11993,0
2015,234827,Central Washington University,7,CWU-Des Moines,11993,0
2015,234827,Central Washington University,8,CWU-Moses Lake,11993,0
2015,234827,Central Washington University,9,CWU-Wenatchee,11993,0
2015,234845,Centralia College,1,Centralia College,3260,0
2015,234845,Centralia College,2,Centralia College - East Campus,3260,0
2015,102845,Charter College,1,Charter College-Anchorage,1945,0
2015,102845,Charter College,2,Charter College - Wasilla,1945,0
2015,102845,Charter College,3,Charter College-Pasco,1945,0
2015,102845,Charter College,4,Charter College - Oxnard,1945,0
2015,102845,Charter College,6,Charter College-Vancouver,1945,0
2015,102845,Charter College,7,Charter College - Fife,1945,0
2015,234915,City University of Seattle,2,Everett,2347,0
2015,234915,City University of Seattle,4,Renton,2347,0
2015,234915,City University of Seattle,6,Tacoma,2347,0
2015,234915,City University of Seattle,8,Vancouver,2347,0
2015,234915,City University of Seattle,10,Vancouver- B.C.,2347,0
2015,234915,City University of Seattle,11,Victoria- B.C.,2347,0
2015,234915,City University of Seattle,12,Calgary- AB,2347,0
2015,234915,City University of Seattle,13,Edmonton- AB,2347,0
2015,234915,City University of Seattle,17,Seattle - Main,2347,0
2015,234933,Clark College,1,Main Campus,10477,0
2015,234933,Clark College,2,Columbia Tech Center,10477,0
2015,234951,Clover Park Technical College,1,Lakewood Campus,3650,0
2015,234951,Clover Park Technical College,2,South Hill Campus,3650,0
2015,234979,Columbia Basin College,1,Columbia Basin College,6422,0
2015,177065,Columbia College,26,Columbia College @ Marysville,14759,0
2015,177065,Columbia College,29,Columbia College @ NAS Whidbey Island,14759,0
2015,235024,Cornish College of the Arts,1,Cornish College of the Arts,724,0
2015,443410,DigiPen Institute of Technology,1,DigiPen,1076,0
2015,235088,Divers Institute of Technology,1,DIVERS INSTITUTE OF TECHNOLOGY,233,0
2015,235097,Eastern Washington University,1,EWU Main Campus,12361,2
2015,235103,Edmonds College,1,Main Campus,8571,0
2015,426314,Embry-Riddle Aeronautical University-Worldwide,30,Everett,13740,0
2015,426314,Embry-Riddle Aeronautical University-Worldwide,111,Seattle,13740,0
2015,426314,Embry-Riddle Aeronautical University-Worldwide,119,Spokane,13740,0
2015,426314,Embry-Riddle Aeronautical University-Worldwide,121,Tacoma,13740,0
